show_flag,event,area,topic,title,link,date
TRUE,Chalkbeat,Data,Data Journalism,These are some of the education questions Chalkbeat answered through data in 2023,https://www.chalkbeat.org/2023/12/18/answering-education-questions-through-data-from-chalkbeat-in-2023/,12/18/2023
TRUE,NLGJA Connect,DEI,LGBTQ+ Issues,"As coverage of the trans community increases, journalists work to get it right",https://nlgjaconnect.com/2023/09/09/as-coverage-of-the-trans-community-increases-journalists-work-to-get-it-right/,9/9/2023
TRUE,Poynter,DEI,LGBTQ+ Issues,The Trans Journalists Association is expanding to meet the moment,https://www.poynter.org/ethics-trust/2023/trans-journalists-association-training-new-style-guide-board-members/,9/5/2023
TRUE,Trans Journalists Association,DEI,LGBTQ+ Issues,Introducing TJA’s new board of directors and fiscal sponsor,https://www.transjournalists.org/tja-board-announcement/,9/5/2023
TRUE,International Press Institute,DEI,LGBTQ+ Issues,"USA: Amid anti-trans legislation, Trans Journalists Association seeks to provide education and community",https://ipi.media/usa-amid-anti-trans-legislation-trans-journalists-association-seeks-to-provide-education-and-community/,6/30/2023
TRUE,Nieman Reports,DEI,LGBTQ+ Issues,The Trans Journalists Association Tackles the Shortfalls of Media Coverage of Trans People,https://niemanreports.org/articles/trans-journalists-association-interview/,6/23/2023
TRUE,Poynter,DEI,LGBTQ+ Issues,How LGBTQ+ journalists can survive this moment in American politics,https://www.poynter.org/ethics-trust/2023/how-lgbtq-reporters-cover-news-stories-media-under-attack/,5/2/2023
TRUE,Association of Health Care Journalists - Covering Health,Trans Coverage,LGBTQ+ Issues,"3 tips to avoid spreading misinformation about trans people, mental illness and mass shootings",https://healthjournalism.org/blog/2023/04/3-tips-to-avoid-spreading-misinformation-about-trans-people-mental-illness-and-mass-shootings/,4/3/2023
TRUE,Chalkbeat,Data,Data Journalism,13 education data stories that explained U.S. schools in 2022,https://www.chalkbeat.org/2022/12/29/23521039/education-data-journalism-school-trends-year-in-review/,12/29/2022
TRUE,The Objective,DEI,LGBTQ+ Issues,Mainstream newsrooms’ emphasis on “objectivity” continues to harm trans people — and that needs to change now,https://objectivejournalism.org/2022/09/mainstream-newsrooms-emphasis-on-objectivity-harms-trans-journalists/,9/1/2022
TRUE,Mediaite,DEI,LGBTQ+ Issues,"As Trans Issues Take Center Stage in Media, Trans Journalists Fight For More Than Just Visibility",https://www.mediaite.com/opinion/trans-journalists-fight-for-more-than-just-visibility/,6/29/2022
TRUE,The Freelance Creative,DEI,LGBTQ+ Issues,"How to Write About, Edit, and Cite Source Pronouns Accurately",https://contently.net/2022/06/03/trends/accurate-source-pronouns/,6/3/2022
TRUE,Teenformation,Data,Data Journalism,"Embrace unique paths, and don't neglect the soft skills: Kae Petrin on Entering Data Journalism",https://100453149.wixsite.com/teenformation/post/understanding-data-journalism-with-chalkbeat-s-kae-petrin,4/6/2022
TRUE,Investigative Reporters & Editors,DEI,LGBTQ+ Issues,What LGBTQ+ journalists think you should know,https://www.ire.org/wp-content/uploads/woocommerce_uploads/2021/11/ire_q4_2021-iwwvrp.pdf,11/1/2021
FALSE,Politically Speaking,reporting,Loop Trolley,,https://news.stlpublicradio.org/government-politics-issues/2020-01-24/politically-speaking-on-the-failed-loop-trolley-revival-and-missouri-senators-impeachment-view,
FALSE,Politically Speaking,reporting,red light camera data,,https://news.stlpublicradio.org/government-politics-issues/2019-12-13/politically-speaking-on-red-light-cameras-conversion-therapy-and-missouris-dc-delegation,
FALSE,Politically Speaking,reporting,McKee/development,,https://news.stlpublicradio.org/government-politics-issues/2019-11-08/politically-speaking-untangling-airport-privatization-sports-betting-and-northside-redevelopment,
FALSE,St. Louis On the Air,reporting,Loop Trolley,,https://news.stlpublicradio.org/economy-business/2020-01-02/st-louisans-reflect-on-trolleys-brief-life-while-showing-up-in-droves-for-its-last-day,
FALSE,St. Louis On the Air,reporting,LGBTQ+ discrimination law,,https://news.stlpublicradio.org/show/st-louis-on-the-air/2019-10-18/missouri-lgbtq-workers-prepare-for-terrifying-supreme-court-rulings-in-2020,
FALSE,St. Louis On the Air,reporting,Metro union,,https://news.stlpublicradio.org/show/st-louis-on-the-air/2019-08-22/metros-turning-their-backs-on-transit-operators-union-rep-says-after-mondays-chaotic-commute,
FALSE,St. Louis On the Air,reporting,McKee/development,,https://radiopublic.com/st-louis-on-the-air-G7N5bn/s1!1b7b1,
FALSE,St. Louis On the Air,reporting,Bike safety / Limebike,,https://news.stlpublicradio.org/show/st-louis-on-the-air/2018-05-15/from-helmets-to-courtesy-to-critical-mass-a-conversation-about-bike-safety-in-st-louis,
FALSE,St. Louis On the Air,reporting,Income inequality,,https://news.stlpublicradio.org/show/st-louis-on-the-air/2018-01-31/i-was-too-black-discrimination-segregation-perpetuate-income-inequality-in-st-louis,
FALSE,St. Louis On the Air,reporting,Webster U Title IX,,https://radiopublic.com/st-louis-on-the-air-G7N5bn/s1!4426f,
FALSE,We Live Here,reporting,Racial coding STL,,https://news.stlpublicradio.org/2015-04-04/st-louis-coded-conversation-on-race-and-class,
FALSE,St. Louis Media Works,reporting,general SLM stuff,,https://podcasts.apple.com/us/podcast/stl-media-works-podcast-katelyn-mae-petrin/id1262437394?i=1000391352391,
FALSE,Reed College of Media - Thesis by Alicia Ramirez,DEI,LGBTQ+ Issues,"Incremental change for the future: diversity, equity, and inclusion in newsrooms",,
